Date/Time	RefStation1~ws15~Mean
2006-08-17 11:00	0.9727
2006-08-17 12:00	1.2129
2006-08-17 13:00	1.6934
2006-08-17 14:00	2.2140
2006-08-17 15:00	2.6744
2006-08-17 16:00	3.0448
2006-08-17 17:00	3.7255
2006-08-17 18:00	4.5564
2006-08-17 19:00	4.8467
2006-08-17 20:00	4.5564
2006-08-17 21:00	4.3762
2006-08-17 22:00	4.5064
2006-08-17 23:00	4.5964
2006-08-18 00:00	4.7866
2006-08-18 01:00	4.8567
2006-08-18 02:00	4.5164
2006-08-18 03:00	3.8256
2006-08-18 04:00	2.9047
2006-08-18 05:00	1.7134
2006-08-18 06:00	0.5823
2006-08-18 07:00	0.9126
2006-08-18 08:00	1.3331
2006-08-18 09:00	1.7435
2006-08-18 10:00	2.5743
2006-08-18 11:00	3.1950
2006-08-18 12:00	3.6555
2006-08-18 13:00	3.8557
2006-08-18 14:00	3.8657
2006-08-18 15:00	4.1760
2006-08-18 16:00	4.6865
2006-08-18 17:00	5.0369
2006-08-18 18:00	5.2171
2006-08-18 19:00	5.1670
2006-08-18 20:00	5.0069
2006-08-18 21:00	5.1670
2006-08-18 22:00	5.5274
2006-08-18 23:00	5.6876
2006-08-19 00:00	5.8578
2006-08-19 01:00	6.1781
2006-08-19 02:00	5.8978
2006-08-19 03:00	5.0870
2006-08-19 04:00	3.8357
2006-08-19 05:00	2.6644
2006-08-19 06:00	2.4943
2006-08-19 07:00	2.7245
2006-08-19 08:00	2.7946
2006-08-19 09:00	3.4553
2006-08-19 10:00	3.9358
2006-08-19 11:00	3.9458
2006-08-19 12:00	4.1059
2006-08-19 13:00	4.1760
2006-08-19 14:00	4.0158
2006-08-19 15:00	3.7656
2006-08-19 16:00	3.4853
2006-08-19 17:00	3.1850
2006-08-19 18:00	3.0248
2006-08-19 19:00	2.8947
2006-08-19 20:00	2.5643
2006-08-19 21:00	2.0538
2006-08-19 22:00	1.8236
2006-08-19 23:00	2.4142
2006-08-20 00:00	3.2350
2006-08-20 01:00	3.7255
2006-08-20 02:00	3.9958
2006-08-20 03:00	4.3162
2006-08-20 04:00	4.5764
2006-08-20 05:00	4.8367
2006-08-20 06:00	5.3873
2006-08-20 07:00	6.1881
2006-08-20 08:00	6.9389
2006-08-20 09:00	7.5896
2006-08-20 10:00	7.6897
2006-08-20 11:00	7.4794
2006-08-20 12:00	7.2692
2006-08-20 13:00	7.0790
2006-08-20 14:00	6.9089
2006-08-20 15:00	6.7387
2006-08-20 16:00	6.6085
2006-08-20 17:00	6.4183
2006-08-20 18:00	6.3883
2006-08-20 19:00	6.6486
2006-08-20 20:00	6.8588
2006-08-20 21:00	6.8288
2006-08-20 22:00	6.7987
2006-08-20 23:00	6.7086
2006-08-21 00:00	6.2982
2006-08-21 01:00	5.3072
2006-08-21 02:00	4.4763
2006-08-21 03:00	3.8957
2006-08-21 04:00	3.6655
2006-08-21 05:00	4.2161
2006-08-21 06:00	4.1159
2006-08-21 07:00	1.9637
2006-08-21 08:00	1.3531
2006-08-21 09:00	1.9537
2006-08-21 10:00	2.0438
2006-08-21 11:00	2.3241
2006-08-21 12:00	2.9347
2006-08-21 13:00	3.4352
2006-08-21 14:00	3.5053
2006-08-21 15:00	3.6855
2006-08-21 16:00	4.0759
2006-08-21 17:00	4.9768
2006-08-21 18:00	5.7877
2006-08-21 19:00	5.7276
2006-08-21 20:00	5.5274
2006-08-21 21:00	4.9168
2006-08-21 22:00	4.4363
2006-08-21 23:00	4.8167
2006-08-22 00:00	4.5464
2006-08-22 01:00	4.1059
2006-08-22 02:00	3.9358
2006-08-22 03:00	4.1760
2006-08-22 04:00	4.5864
2006-08-22 05:00	4.9768
2006-08-22 06:00	5.3572
2006-08-22 07:00	5.2471
2006-08-22 08:00	4.9969
2006-08-22 09:00	4.9768
2006-08-22 10:00	5.2171
2006-08-22 11:00	5.6575
2006-08-22 12:00	5.8778
2006-08-22 13:00	5.7677
2006-08-22 14:00	5.6876
2006-08-22 15:00	5.8077
2006-08-22 16:00	6.2682
2006-08-22 17:00	7.1591
2006-08-22 18:00	8.0901
2006-08-22 19:00	9.0010
2006-08-22 20:00	9.5916
2006-08-22 21:00	9.5116
2006-08-22 22:00	9.0210
2006-08-22 23:00	8.6607
2006-08-23 00:00	8.2002
2006-08-23 01:00	7.6096
2006-08-23 02:00	7.3593
2006-08-23 03:00	7.6696
2006-08-23 04:00	8.2202
2006-08-23 05:00	9.1912
2006-08-23 06:00	10.943
2006-08-23 07:00	12.714
2006-08-23 08:00	13.135
2006-08-23 09:00	11.924
2006-08-23 10:00	10.552
2006-08-23 11:00	10.032
2006-08-23 12:00	10.012
2006-08-23 13:00	9.8519
2006-08-23 14:00	9.7018
2006-08-23 15:00	9.6417
2006-08-23 16:00	9.6617
2006-08-23 17:00	9.9320
2006-08-23 18:00	10.292
2006-08-23 19:00	10.592
2006-08-23 20:00	10.742
2006-08-23 21:00	10.873
2006-08-23 22:00	10.842
2006-08-23 23:00	10.552
2006-08-24 00:00	10.182
2006-08-24 01:00	9.7518
2006-08-24 02:00	9.3914
2006-08-24 03:00	9.2813
2006-08-24 04:00	9.2613
2006-08-24 05:00	9.1512
2006-08-24 06:00	8.9810
2006-08-24 07:00	8.9109
2006-08-24 08:00	9.0711
2006-08-24 09:00	9.4715
2006-08-24 10:00	9.5116
2006-08-24 11:00	9.3514
2006-08-24 12:00	9.2813
2006-08-24 13:00	9.3714
2006-08-24 14:00	9.6117
2006-08-24 15:00	9.7318
2006-08-24 16:00	9.5616
2006-08-24 17:00	9.4515
2006-08-24 18:00	9.5516
2006-08-24 19:00	9.7118
2006-08-24 20:00	9.6717
2006-08-24 21:00	9.4415
2006-08-24 22:00	9.2313
2006-08-24 23:00	9.2513
2006-08-25 00:00	9.1612
2006-08-25 01:00	9.0511
2006-08-25 02:00	8.9009
2006-08-25 03:00	8.7307
2006-08-25 04:00	8.6907
2006-08-25 05:00	8.5105
2006-08-25 06:00	8.3704
2006-08-25 07:00	8.2402
2006-08-25 08:00	7.8899
2006-08-25 09:00	7.3994
2006-08-25 10:00	6.8588
2006-08-25 11:00	6.4284
2006-08-25 12:00	5.9278
2006-08-25 13:00	5.4073
2006-08-25 14:00	4.9268
2006-08-25 15:00	4.6365
2006-08-25 16:00	4.5464
2006-08-25 17:00	4.7166
2006-08-25 18:00	5.3672
2006-08-25 19:00	6.3282
2006-08-25 20:00	6.9289
2006-08-25 21:00	6.9189
2006-08-25 22:00	6.6986
2006-08-25 23:00	6.4684
2006-08-26 00:00	6.0780
2006-08-26 01:00	5.5975
2006-08-26 02:00	5.2772
2006-08-26 03:00	5.2371
2006-08-26 04:00	5.3572
2006-08-26 05:00	5.4273
2006-08-26 06:00	5.4173
2006-08-26 07:00	5.3773
2006-08-26 08:00	5.1670
2006-08-26 09:00	4.9268
2006-08-26 10:00	4.5564
2006-08-26 11:00	4.0959
2006-08-26 12:00	3.6054
2006-08-26 13:00	3.1149
2006-08-26 14:00	2.5243
2006-08-26 15:00	1.8736
2006-08-26 16:00	1.2329
2006-08-26 17:00	0.6223
2006-08-26 18:00	0.1819
2006-08-26 19:00	0.1718
2006-08-26 20:00	0.3220
2006-08-26 21:00	0.5923
2006-08-26 22:00	0.8125
2006-08-26 23:00	0.9927
2006-08-27 00:00	1.1929
2006-08-27 01:00	1.4332
2006-08-27 02:00	1.7034
2006-08-27 03:00	2.2640
2006-08-27 04:00	2.8847
2006-08-27 05:00	3.4052
2006-08-27 06:00	3.8357
2006-08-27 07:00	4.0058
2006-08-27 08:00	3.7756
2006-08-27 09:00	3.4753
2006-08-27 10:00	3.3652
2006-08-27 11:00	3.1349
2006-08-27 12:00	2.6344
2006-08-27 13:00	2.2941
2006-08-27 14:00	2.2340
2006-08-27 15:00	2.3741
2006-08-27 16:00	2.8947
2006-08-27 17:00	3.6955
2006-08-27 18:00	4.7366
2006-08-27 19:00	5.1871
2006-08-27 20:00	4.9268
2006-08-27 21:00	4.1660
2006-08-27 22:00	5.1170
2006-08-27 23:00	5.2972
2006-08-28 00:00	5.7376
2006-08-28 01:00	6.4684
2006-08-28 02:00	6.5885
2006-08-28 03:00	6.4884
2006-08-28 04:00	6.7487
2006-08-28 05:00	7.2792
2006-08-28 06:00	7.5695
2006-08-28 07:00	7.3693
2006-08-28 08:00	6.9089
2006-08-28 09:00	6.6586
2006-08-28 10:00	6.4684
2006-08-28 11:00	6.0880
2006-08-28 12:00	5.6676
2006-08-28 13:00	5.2972
2006-08-28 14:00	5.0870
2006-08-28 15:00	5.0870
2006-08-28 16:00	5.2371
2006-08-28 17:00	5.6275
2006-08-28 18:00	6.1080
2006-08-28 19:00	6.1781
2006-08-28 20:00	5.7877
2006-08-28 21:00	5.2972
2006-08-28 22:00	5.2271
2006-08-28 23:00	5.6876
2006-08-29 00:00	6.4584
2006-08-29 01:00	7.3493
2006-08-29 02:00	8.0901
2006-08-29 03:00	8.5005
2006-08-29 04:00	8.5305
2006-08-29 05:00	8.3904
2006-08-29 06:00	8.3303
2006-08-29 07:00	8.3203
2006-08-29 08:00	8.0000
2006-08-29 09:00	7.7898
2006-08-29 10:00	7.2492
2006-08-29 11:00	6.5485
2006-08-29 12:00	6.2482
2006-08-29 13:00	6.6085
2006-08-29 14:00	7.0790
2006-08-29 15:00	6.9989
2006-08-29 16:00	6.7287
2006-08-29 17:00	7.1391
2006-08-29 18:00	8.1001
2006-08-29 19:00	8.7408
2006-08-29 20:00	8.9910
2006-08-29 21:00	8.5506
2006-08-29 22:00	8.2002
2006-08-29 23:00	7.7898
2006-08-30 00:00	6.6386
2006-08-30 01:00	5.9979
2006-08-30 02:00	6.7086
2006-08-30 03:00	7.7597
2006-08-30 04:00	8.8308
2006-08-30 05:00	9.9420
2006-08-30 06:00	10.913
2006-08-30 07:00	10.192
2006-08-30 08:00	9.9720
2006-08-30 09:00	10.172
2006-08-30 10:00	9.7818
2006-08-30 11:00	9.9020
2006-08-30 12:00	10.002
2006-08-30 13:00	9.3914
2006-08-30 14:00	8.6306
2006-08-30 15:00	8.6907
2006-08-30 16:00	9.6117
2006-08-30 17:00	10.933
2006-08-30 18:00	11.143
2006-08-30 19:00	10.592
2006-08-30 20:00	9.5015
2006-08-30 21:00	9.3314
2006-08-30 22:00	9.1912
2006-08-30 23:00	9.0210
2006-08-31 00:00	9.1512
2006-08-31 01:00	9.4315
2006-08-31 02:00	9.6117
2006-08-31 03:00	9.6717
2006-08-31 04:00	10.052
2006-08-31 05:00	10.542
2006-08-31 06:00	10.702
2006-08-31 07:00	10.462
2006-08-31 08:00	9.5816
2006-08-31 09:00	9.2513
2006-08-31 10:00	9.5116
2006-08-31 11:00	10.412
2006-08-31 12:00	11.433
2006-08-31 13:00	12.014
2006-08-31 14:00	11.924
2006-08-31 15:00	11.513
2006-08-31 16:00	10.842
2006-08-31 17:00	10.522
2006-08-31 18:00	10.472
2006-08-31 19:00	10.312
2006-08-31 20:00	10.052
2006-08-31 21:00	9.6617
2006-08-31 22:00	9.1512
2006-08-31 23:00	8.4004
2006-09-01 00:00	7.6196
2006-09-01 01:00	7.0490
2006-09-01 02:00	6.4984
2006-09-01 03:00	5.9178
2006-09-01 04:00	5.2471
2006-09-01 05:00	4.6165
2006-09-01 06:00	4.2261
2006-09-01 07:00	3.8757
2006-09-01 08:00	3.0148
2006-09-01 09:00	1.7034
2006-09-01 10:00	0.6624
2006-09-01 11:00	0.0717
2006-09-01 12:00	0.1718
2006-09-01 13:00	0.3620
2006-09-01 14:00	1.1028
2006-09-01 15:00	1.9036
2006-09-01 16:00	2.4642
2006-09-01 17:00	3.2450
2006-09-01 18:00	4.3862
2006-09-01 19:00	5.3172
2006-09-01 20:00	5.7877
2006-09-01 21:00	5.9879
2006-09-01 22:00	6.2081
2006-09-01 23:00	6.4484
2006-09-02 00:00	6.6686
2006-09-02 01:00	6.9589
2006-09-02 02:00	7.2792
2006-09-02 03:00	7.5195
2006-09-02 04:00	7.4895
2006-09-02 05:00	7.1091
2006-09-02 06:00	6.6986
2006-09-02 07:00	6.2081
2006-09-02 08:00	5.1470
2006-09-02 09:00	5.2972
2006-09-02 10:00	5.9078
2006-09-02 11:00	6.1681
2006-09-02 12:00	6.2982
2006-09-02 13:00	6.0780
2006-09-02 14:00	5.6475
2006-09-02 15:00	5.3672
2006-09-02 16:00	5.4373
2006-09-02 17:00	5.7677
2006-09-02 18:00	6.1280
2006-09-02 19:00	6.6085
2006-09-02 20:00	7.4794
2006-09-02 21:00	8.3303
2006-09-02 22:00	8.4805
2006-09-02 23:00	8.2402
2006-09-03 00:00	8.1301
2006-09-03 01:00	7.9399
2006-09-03 02:00	7.5595
2006-09-03 03:00	7.1891
2006-09-03 04:00	6.4784
2006-09-03 05:00	5.6976
2006-09-03 06:00	5.0469
2006-09-03 07:00	4.9568
2006-09-03 08:00	4.6465
2006-09-03 09:00	3.7356
2006-09-03 10:00	3.3051
2006-09-03 11:00	3.0749
2006-09-03 12:00	3.0148
2006-09-03 13:00	3.3051
2006-09-03 14:00	3.5954
2006-09-03 15:00	3.8757
2006-09-03 16:00	3.9958
2006-09-03 17:00	4.6665
2006-09-03 18:00	5.7877
2006-09-03 19:00	7.0390
2006-09-03 20:00	8.0500
2006-09-03 21:00	8.4204
2006-09-03 22:00	8.5606
2006-09-03 23:00	8.2402
2006-09-04 00:00	7.6797
2006-09-04 01:00	7.1791
2006-09-04 02:00	6.7587
2006-09-04 03:00	6.3383
2006-09-04 04:00	6.0179
2006-09-04 05:00	5.9278
2006-09-04 06:00	5.9879
2006-09-04 07:00	6.0880
2006-09-04 08:00	6.1481
2006-09-04 09:00	5.8778
2006-09-04 10:00	5.5574
2006-09-04 11:00	5.4373
2006-09-04 12:00	5.4774
2006-09-04 13:00	5.5574
2006-09-04 14:00	5.7076
2006-09-04 15:00	5.8978
2006-09-04 16:00	6.3483
2006-09-04 17:00	7.2492
2006-09-04 18:00	8.4404
2006-09-04 19:00	9.6117
2006-09-04 20:00	10.262
2006-09-04 21:00	10.702
2006-09-04 22:00	10.913
2006-09-04 23:00	11.793
2006-09-05 00:00	12.815
2006-09-05 01:00	13.065
2006-09-05 02:00	11.924
2006-09-05 03:00	11.964
2006-09-05 04:00	12.464
2006-09-05 05:00	13.235
2006-09-05 06:00	13.505
2006-09-05 07:00	12.554
2006-09-05 08:00	9.6517
2006-09-05 09:00	9.1111
2006-09-05 10:00	8.2903
2006-09-05 11:00	7.2392
2006-09-05 12:00	6.1581
2006-09-05 13:00	5.1871
2006-09-05 14:00	4.1159
2006-09-05 15:00	2.8246
2006-09-05 16:00	1.4832
2006-09-05 17:00	0.6523
2006-09-05 18:00	0.9426
2006-09-05 19:00	1.4632
2006-09-05 20:00	2.0438
2006-09-05 21:00	2.4542
2006-09-05 22:00	2.7545
2006-09-05 23:00	2.6845
2006-09-06 00:00	1.9036
2006-09-06 01:00	1.6434
2006-09-06 02:00	1.5933
2006-09-06 03:00	1.6834
2006-09-06 04:00	2.7746
2006-09-06 05:00	4.1059
2006-09-06 06:00	5.2471
2006-09-06 07:00	5.8277
2006-09-06 08:00	5.2872
2006-09-06 09:00	4.3762
2006-09-06 10:00	4.0459
2006-09-06 11:00	4.1059
2006-09-06 12:00	4.9168
2006-09-06 13:00	5.5775
2006-09-06 14:00	5.5374
2006-09-06 15:00	4.9568
2006-09-06 16:00	5.0669
2006-09-06 17:00	5.0169
2006-09-06 18:00	4.5164
2006-09-06 19:00	4.8167
2006-09-06 20:00	5.5274
2006-09-06 21:00	6.7086
2006-09-06 22:00	8.1301
2006-09-06 23:00	9.2213
2006-09-07 00:00	9.6817
2006-09-07 01:00	9.6717
2006-09-07 02:00	9.6017
2006-09-07 03:00	10.012
2006-09-07 04:00	9.9120
2006-09-07 05:00	9.5316
2006-09-07 06:00	9.4014
2006-09-07 07:00	9.4715
2006-09-07 08:00	9.1912
2006-09-07 09:00	8.7908
2006-09-07 10:00	8.2502
2006-09-07 11:00	7.7297
2006-09-07 12:00	7.3493
2006-09-07 13:00	7.0590
2006-09-07 14:00	6.8087
2006-09-07 15:00	6.5885
2006-09-07 16:00	6.6586
2006-09-07 17:00	7.2192
2006-09-07 18:00	8.0100
2006-09-07 19:00	8.6507
2006-09-07 20:00	8.7307
2006-09-07 21:00	8.2903
2006-09-07 22:00	7.7697
2006-09-07 23:00	7.3093
2006-09-08 00:00	6.8988
2006-09-08 01:00	6.2682
2006-09-08 02:00	5.8277
2006-09-08 03:00	5.8578
2006-09-08 04:00	5.3472
2006-09-08 05:00	4.9668
2006-09-08 06:00	4.4062
2006-09-08 07:00	3.9358
2006-09-08 08:00	3.5654
2006-09-08 09:00	3.0949
2006-09-08 10:00	2.8046
2006-09-08 11:00	2.6644
2006-09-08 12:00	2.5443
2006-09-08 13:00	2.5643
2006-09-08 14:00	2.8947
2006-09-08 15:00	3.3251
2006-09-08 16:00	3.6555
2006-09-08 17:00	4.0659
2006-09-08 18:00	4.4563
2006-09-08 19:00	4.8267
2006-09-08 20:00	5.1170
2006-09-08 21:00	5.2671
2006-09-08 22:00	5.3973
2006-09-08 23:00	5.4373
2006-09-09 00:00	5.2772
2006-09-09 01:00	4.9368
2006-09-09 02:00	4.5264
2006-09-09 03:00	4.1260
2006-09-09 04:00	3.8657
2006-09-09 05:00	3.8357
2006-09-09 06:00	3.7656
2006-09-09 07:00	3.6354
2006-09-09 08:00	3.4152
2006-09-09 09:00	3.1349
2006-09-09 10:00	2.6344
2006-09-09 11:00	2.0738
2006-09-09 12:00	1.3731
2006-09-09 13:00	0.8425
2006-09-09 14:00	0.8526
2006-09-09 15:00	0.9727
2006-09-09 16:00	1.1228
2006-09-09 17:00	1.5032
2006-09-09 18:00	2.0438
2006-09-09 19:00	2.7645
2006-09-09 20:00	3.6254
2006-09-09 21:00	4.5764
2006-09-09 22:00	5.5274
2006-09-09 23:00	6.1981
2006-09-10 00:00	6.6686
2006-09-10 01:00	7.2692
2006-09-10 02:00	7.8899
2006-09-10 03:00	8.2202
2006-09-10 04:00	8.3103
2006-09-10 05:00	8.3303
2006-09-10 06:00	8.3103
2006-09-10 07:00	8.4605
2006-09-10 08:00	8.6006
