Date/Time	MERRA C~ws50~Mean	MERRA E~ws50~Mean	MERRA N~ws50~Mean	MERRA S~ws50~Mean	MERRA W~ws50~Mean
17/08/2006 11:00	1.6248	5.2996	1.1178	2.1273	2.4165
17/08/2006 12:00	1.3976	3.5163	1.2282	2.1325	3.0917
17/08/2006 13:00	2.8174	10.6726	2.2895	3.1802	4.9017
17/08/2006 14:00	2.9553	8.2601	2.6569	3.4941	4.7279
17/08/2006 15:00	3.8773	14.8782	3.3517	5.4702	10.9224
17/08/2006 16:00	4.5449	16.8282	5.0474	6.8254	5.6902
17/08/2006 17:00	4.1445	12.9014	3.9847	6.2941	10.263
17/08/2006 18:00	6.9328	18.9135	6.87	9.6313	8.7055
17/08/2006 19:00	6.1845	19.9165	5.7696	8.6266	11.5783
17/08/2006 20:00	4.685	7.3272	4.1657	4.9286	12.3786
17/08/2006 21:00	6.7287	17.6071	6.5649	8.5516	9.0507
17/08/2006 22:00	5.4939	10.1071	5.3415	7.2002	10.6942
17/08/2006 23:00	4.9442	6.1379	5.2019	6.1109	10.5438
18/08/2006 00:00	5.9408	18.3045	6.6323	10.69	13.392
18/08/2006 01:00	5.6493	22.573	6.2915	7.9768	10.4546
18/08/2006 02:00	4.7383	12.9493	4.6988	6.8674	14.1197
18/08/2006 03:00	5.3611	11.3639	5.2699	5.7171	5.7562
18/08/2006 04:00	3.4242	8.1926	3.6173	4.4901	6.0861
18/08/2006 05:00	1.8295	5.245	1.8222	2.7948	3.2263
18/08/2006 06:00	0.723	2.3661	0.3867	1.1207	2.0648
18/08/2006 07:00	1.1884	3.11	1.1742	2.0478	2.3739
18/08/2006 08:00	1.7578	7.2439	2.2766	3.9446	2.6706
18/08/2006 09:00	2.0472	2.3803	2.0748	3.7515	5.4122
18/08/2006 10:00	3.7299	10.2703	4.2826	6.771	9.2057
18/08/2006 11:00	3.9423	15.4858	4.2156	6.5211	4.5488
18/08/2006 12:00	5.3371	7.6363	4.9413	6.6115	6.4379
18/08/2006 13:00	5.3203	17.7059	5.1824	5.8779	11.1719
18/08/2006 14:00	4.6009	12.8	5.303	7.3118	8.4405
18/08/2006 15:00	5.642	17.0225	5.6324	8.4141	17.0723
18/08/2006 16:00	6.6999	6.7672	6.4325	7.5748	11.4559
18/08/2006 17:00	7.4742	25.631	8.3159	10.9572	15.2527
18/08/2006 18:00	5.5181	7.9048	5.5122	7.4506	6.0551
18/08/2006 19:00	6.0618	17.8399	5.4972	7.7479	8.8004
18/08/2006 20:00	7.1154	25.6034	7.4199	11.0147	8.7111
18/08/2006 21:00	8.2746	16.4632	8.6998	10.9522	11.4371
18/08/2006 22:00	7.3871	22.5104	7.8461	12.0203	12.8558
18/08/2006 23:00	6.5342	12.1104	6.2508	7.2771	7.5586
19/08/2006 00:00	7.6278	12.0093	7.7757	8.9809	7.857
19/08/2006 01:00	7.274	26.7335	7.5393	11.0414	9.713
19/08/2006 02:00	8.0122	11.3067	8.6193	9.8392	18.8351
19/08/2006 03:00	7.0944	25.7935	7.5385	11.9629	15.7851
19/08/2006 04:00	5.2414	19.2786	4.9502	6.2364	15.4769
19/08/2006 05:00	3.4259	11.6526	3.3292	4.1631	10.0525
19/08/2006 06:00	2.8311	10.0626	2.99	4.5602	4.6489
19/08/2006 07:00	4.0713	6.407	3.7082	6.0669	4.3675
19/08/2006 08:00	4.3205	5.6781	4.6483	6.0826	6.3522
19/08/2006 09:00	3.6695	8.1606	4.3783	7.2469	6.1936
19/08/2006 10:00	4.441	14.1078	4.8672	6.1342	6.8267
19/08/2006 11:00	5.4325	11.2344	5.5137	6.0079	5.9818
19/08/2006 12:00	5.9188	14.9495	6.8607	9.3156	10.2999
19/08/2006 13:00	4.6486	7.6697	4.1363	6.3622	6.3642
19/08/2006 14:00	5.423	15.0022	5.8863	7.9094	16.0386
19/08/2006 15:00	5.9765	8.7752	5.5306	7.432	16.7553
19/08/2006 16:00	4.3164	6.2483	4.9629	8.1098	7.5731
19/08/2006 17:00	5.2649	11.8804	5.5261	8.4464	15.993
19/08/2006 18:00	3.6644	8.6972	3.2775	5.4942	11.3142
19/08/2006 19:00	3.3726	3.686	3.1169	4.4487	9.4532
19/08/2006 20:00	3.1586	9.7821	3.5285	4.909	5.4188
19/08/2006 21:00	2.5143	9.0785	2.1277	3.6579	4.4289
19/08/2006 22:00	2.9241	7.8635	2.8976	3.8054	4.7362
19/08/2006 23:00	3.6099	6.8831	3.0433	4.7406	10.9656
20/08/2006 00:00	5.3267	13.2857	5.406	6.5502	6.4331
20/08/2006 01:00	5.0816	14.1878	5.5061	8.1678	14.0492
20/08/2006 02:00	6.4222	10.3459	5.7761	7.9086	10.5277
20/08/2006 03:00	5.3351	7.3879	4.639	5.3405	15.0372
20/08/2006 04:00	6.6474	10.9471	6.6446	8.1403	12.6639
20/08/2006 05:00	6.8436	22.2133	6.2822	9.709	16.9092
20/08/2006 06:00	6.8728	11.0275	7.2033	10.2251	17.8534
20/08/2006 07:00	7.9566	27.1941	7.9261	9.6174	8.4396
20/08/2006 08:00	8.7515	12.3002	8.6119	11.8529	22.2183
20/08/2006 09:00	8.6659	19.3512	8.791	11.832	23.6891
20/08/2006 10:00	8.9342	28.3084	10.1514	12.1737	22.7099
20/08/2006 11:00	9.2234	22.0865	10.1732	12.8957	17.2699
20/08/2006 12:00	8.9736	17.6591	9.1995	11.7968	19.5236
20/08/2006 13:00	7.7996	8.6271	7.376	7.9922	10.9773
20/08/2006 14:00	9.9075	16.5813	10.1896	12.4561	23.1286
20/08/2006 15:00	7.5403	23.5186	7.0325	10.4289	19.6731
20/08/2006 16:00	7.4911	26.3229	7.3829	8.5999	20.6056
20/08/2006 17:00	8.3237	15.3676	8.2283	10.5456	20.33
20/08/2006 18:00	7.5322	9.6578	8.2613	12.6247	11.3469
20/08/2006 19:00	9.2316	26.372	9.1869	10.4068	20.4579
20/08/2006 20:00	9.6585	13.3387	9.8916	12.8008	25.9504
20/08/2006 21:00	9.3121	36.242	9.6075	14.2781	12.2674
20/08/2006 22:00	7.5448	29.6941	8.5034	11.7886	20.6228
20/08/2006 23:00	9.5127	37.1815	10.3322	11.1705	15.8088
21/08/2006 00:00	8.8902	26.391	9.1479	10.118	14.0637
21/08/2006 01:00	5.6602	7.0355	5.27	7.9398	15.1503
21/08/2006 02:00	6.1619	10.7318	5.5044	6.8012	7.0607
21/08/2006 03:00	5.3369	17.0163	5.7135	9.2134	6.5744
21/08/2006 04:00	5.2676	7.9967	5.6936	6.6066	14.1383
21/08/2006 05:00	5.7645	12.9753	5.4965	8.6241	8.2029
21/08/2006 06:00	5.8442	15.2884	6.122	9.049	10.8875
21/08/2006 07:00	2.8385	5.5281	2.1547	3.398	6.0843
21/08/2006 08:00	1.6396	3.0584	1.0865	1.729	3.8393
21/08/2006 09:00	2.6132	5.5158	2.5877	3.9	6.8116
21/08/2006 10:00	2.4244	3.8984	1.8299	2.6978	6.9906
21/08/2006 11:00	2.7183	4.5558	2.7938	3.954	4.241
21/08/2006 12:00	4.6428	18.8311	4.6195	6.3993	10.6173
21/08/2006 13:00	5.0881	8.7473	5.7046	7.8051	5.8804
21/08/2006 14:00	5.8378	14.3475	6.4437	8.1295	6.4219
21/08/2006 15:00	4.3098	11.2637	4.5365	6.0591	9.1093
21/08/2006 16:00	4.9394	11.0725	5.1993	7.895	6.1053
21/08/2006 17:00	6.02	24.2578	6.1861	8.8788	9.9092
21/08/2006 18:00	8.758	29.6686	8.7468	11.5998	25.8617
21/08/2006 19:00	8.3516	18.4446	8.7485	12.9405	22.8134
21/08/2006 20:00	6.3868	15.8997	6.1629	8.2871	13.3814
21/08/2006 21:00	6.3992	16.2348	6.0561	8.8067	9.2513
21/08/2006 22:00	6.65	10.2225	7.3525	8.3006	7.8497
21/08/2006 23:00	6.2792	18.5974	6.9068	7.9779	15.5241
22/08/2006 00:00	6.3341	15.1292	6.4566	7.1905	13.0761
22/08/2006 01:00	6.1842	11.6091	5.6798	8.9106	17.166
22/08/2006 02:00	4.5563	6.6043	5.0234	7.7932	13.1231
22/08/2006 03:00	5.0824	14.4161	4.9764	6.4569	5.7791
22/08/2006 04:00	5.6812	12.1245	5.9378	7.3026	9.4231
22/08/2006 05:00	6.3195	16.8324	6.4199	10.11	15.271
22/08/2006 06:00	6.5444	17.2837	6.3663	8.7907	15.8095
22/08/2006 07:00	6.594	23.5172	6.8526	9.3151	14.4332
22/08/2006 08:00	7.1645	8.2106	7.6208	10.846	15.1398
22/08/2006 09:00	7.0664	16.2033	7.4376	8.4155	12.9754
22/08/2006 10:00	7.4189	28.8232	7.4502	9.5685	15.6083
22/08/2006 11:00	8.1885	14.2225	8.3777	10.7812	14.9157
22/08/2006 12:00	7.1847	19.474	6.8067	10.6692	13.3005
22/08/2006 13:00	8.2285	17.5987	8.5564	11.9241	15.0316
22/08/2006 14:00	7.5063	23.963	7.4032	9.7488	21.4775
22/08/2006 15:00	8.1603	21.7571	8.4475	12.3367	10.8598
22/08/2006 16:00	9.4346	22.0915	9.3762	12.6785	17.4215
22/08/2006 17:00	8.2545	9.2488	8.8837	10.1605	11.2124
22/08/2006 18:00	9.1055	18.957	9.2663	11.2006	23.4757
22/08/2006 19:00	12.9211	27.6326	12.2873	16.7936	21.0881
22/08/2006 20:00	11.2007	24.7306	12.4836	14.2708	22.0568
22/08/2006 21:00	12.74	38.9984	13.035	17.6419	32.8135
22/08/2006 22:00	10.4624	39.5494	10.3575	12.1937	30.8079
22/08/2006 23:00	9.7633	30.3077	9.7191	12.4879	23.2465
23/08/2006 00:00	9.3264	9.9705	8.6145	13.1497	22.6167
23/08/2006 01:00	9.7798	10.2641	10.542	15.7802	21.7916
23/08/2006 02:00	7.6737	19.6032	7.7904	9.8352	21.6753
