j: 0   YIELD:4296876692.01232
j: 1   YIELD:4297690878.20431
j: 2   YIELD:4301668372.67953
j: 3   YIELD:4290312925.1979
j: 4   YIELD:4281179160.86808
j: 5   YIELD:4274350800.94455
j: 6   YIELD:4270519170.92513
j: 7   YIELD:4273671906.5751
j: 8   YIELD:4278501593.10566
j: 9   YIELD:4312946179.75884
j: 10   YIELD:4305074292.69869
j: 11   YIELD:4299446925.11827
j: 12   YIELD:4297919622.80062
j: 13   YIELD:4292000510.09123
j: 14   YIELD:4293882415.58787
j: 15   YIELD:4291649545.93332
j: 16   YIELD:4283427935.47745
j: 17   YIELD:4285236246.65808
j: 18   YIELD:4284777527.46221
j: 19   YIELD:4276154872.04002
