i: 0   DEPTH:31.3461129538869   YIELD:4471293211.98152   COST-BENEFIT-SCORE:1
i: 1   DEPTH:31.3184620129119   YIELD:4466019075.70995   COST-BENEFIT-SCORE:0.999114484018176
i: 2   DEPTH:31.4805897162613   YIELD:4464742927.31044   COST-BENEFIT-SCORE:0.997105015151481
i: 3   DEPTH:31.4756893906472   YIELD:4465171519.20871   COST-BENEFIT-SCORE:0.997252979146451
i: 4   DEPTH:31.3690197597759   YIELD:4469260813.9689   COST-BENEFIT-SCORE:0.999301866259395
i: 5   DEPTH:32.0124395871169   YIELD:4467303510.76784   COST-BENEFIT-SCORE:0.992022016308387
i: 6   DEPTH:31.9811110758953   YIELD:4474446677.0483   COST-BENEFIT-SCORE:0.993952724052766
i: 7   DEPTH:32.2451994179984   YIELD:4478357198.53288   COST-BENEFIT-SCORE:0.992019002996797
i: 8   DEPTH:32.1999103021138   YIELD:4477024551.46583   COST-BENEFIT-SCORE:0.992202560567645
i: 9   DEPTH:32.3626570016853   YIELD:4479991462.44509   COST-BENEFIT-SCORE:0.991135465063932
i: 10   DEPTH:31.927400075452   YIELD:4486785462.07901   COST-BENEFIT-SCORE:0.997283440948865
i: 11   DEPTH:31.8178628120438   YIELD:4482239373.38455   COST-BENEFIT-SCORE:0.99743152797284
i: 12   DEPTH:31.6311761168054   YIELD:4482643339.20343   COST-BENEFIT-SCORE:0.999507093482056
i: 13   DEPTH:31.4436641263607   YIELD:4475017987.7791   COST-BENEFIT-SCORE:0.999795686834869
i: 14   DEPTH:30.9099621660992   YIELD:4476943699.31272   COST-BENEFIT-SCORE:1.00590173585595
i: 15   DEPTH:30.696361622669   YIELD:4476830303.40126   COST-BENEFIT-SCORE:1.00814779476513
i: 16   DEPTH:29.3291756806051   YIELD:4481822950.17453   COST-BENEFIT-SCORE:1.02380299651913
i: 17   DEPTH:29.0891055434202   YIELD:4481970249.5885   COST-BENEFIT-SCORE:1.02638883628205
i: 18   DEPTH:28.9488449353812   YIELD:4466131595.93647   COST-BENEFIT-SCORE:1.02433806393074
i: 19   DEPTH:28.2810091660881   YIELD:4466729969.50126   COST-BENEFIT-SCORE:1.03157362887244
