windSpeed_m_per_s	powerOutput_kW	thrustCoefficient	frequency_pc
0	0	0	0.00236
1	0	0	0.02084
2	0	0.1	0.03777
3	2.43271	0.65	0.05662
4	35.57645	0.97	0.07879
5	119.22456	0.99	0.09794
6	243.18181	0.95	0.10999
7	396.19832	0.9	0.11194
8	582.60062	0.85	0.10629
9	872.0149	0.78	0.09732
10	1220.38893	0.72	0.0798
11	1640.09946	0.6	0.06264
12	1925.34598	0.5	0.04582
13	2000.61488	0.4	0.03061
14	2000.41474	0.3	0.02097
15	2000	0.25	0.01498
16	2000	0.2	0.01015
17	2000	0.15	0.00633
18	2000	0.12	0.00386
19	2000	0.09	0.00234
20	2000	0.08	0.00128
21	2000	0.07	0.00067
22	2000	0.06	0.00035
23	2000	0.05	0.00018
24	0	0	0.0001
25	0	0	0.00003
26	0	0	0.00003
27	0	0	0
28	0	0	0
29	0	0	0
30	0	0	0
31	0	0	0
32	0	0	0
33	0	0	0
34	0	0	0
35	0	0	0
36	0	0	0
37	0	0	0
38	0	0	0
39	0	0	0
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
