turbineName,grossAnnualYield_MWh_per_year,blockageOnAnnualYield_MWh_per_year,internalWakesOnAnnualYield_MWh_per_year,hysteresisAdjustmentOnAnnualYield_MWh_per_year,largeWindFarmCorrectionOnAnnualYield_MWh_per_year,neighborsWakesOnAnnualYield_MWh_per_year,fullAnnualYield_MWh_per_year,freeMeanWindSpeed_m_per_s,fullMeanWindSpeed_m_per_s,ambientMeanTurbulenceIntensity_percentage,fullMeanTurbulenceIntensity_percentage,airDensityAtHubHeight_kg_per_m3,farm_name,easting,northing,turbineInteractionEfficiency
T1,14655.118623325987,13926.732739075927,12720.176725353407,12720.176725353407,12720.176725353407,12512.975035770232,12512.975035770232,7.343394754759646,6.766910841631098,7.499999999999998,8.215702355791999,1.225,Farm,100016.0532,103237.7459,0.853829665756087
T2,14655.118623325987,13907.599872055542,12429.365839322461,12429.365839322461,12429.365839322461,12223.888996000302,12223.888996000302,7.343394754759646,6.684095672371615,7.499999999999998,8.313324319383979,1.225,Farm,101266.2733,103112.912,0.8341037224048128
T3,14655.118623325987,13918.062783258685,12398.093658526332,12398.093658526332,12398.093658526332,12119.98797620654,12119.98797620654,7.343394754759646,6.651687076186651,7.499999999999998,8.364905653118843,1.225,Farm,99192.44203,102767.8101,0.8270139797378113
T4,14655.118623325987,13937.727168049398,12746.8860937015,12746.8860937015,12746.8860937015,12605.682018514304,12605.682018514304,7.343394754759646,6.784868165494314,7.499999999999998,8.18416968310453,1.225,Farm,102569.0599,103510.2297,0.8601555772090665
T5,14655.118623325987,13924.148854382885,12059.899526404533,12059.899526404533,12059.899526404533,11874.866458797143,11874.866458797143,7.343394754759646,6.582763432913599,7.499999999999998,8.44609211866544,1.225,Farm,100573.6564,102416.78,0.8102879795115665
T6,14655.118623325987,13928.004860402714,12410.846385737716,12410.846385737716,12410.846385737716,12128.447031868403,12128.447031868403,7.343394754759646,6.659567088863697,7.499999999999998,8.353389818118158,1.225,Farm,98202.55229,102587.7236,0.8275911880074462
T7,14655.118623325987,13929.344022718145,12073.007866123122,12073.007866123122,12073.007866123122,11950.805287808196,11950.805287808196,7.343394754759646,6.602223563907527,7.499999999999998,8.423063567028217,1.225,Farm,102082.7525,102612.148,0.8154697068631407
T8,14655.118623325987,13928.632895135033,11954.523253920892,11954.523253920892,11954.523253920892,11651.946140420456,11651.946140420456,7.343394754759646,6.514012857819003,7.499999999999998,8.53772787734835,1.225,Farm,99642.22554,101937.973,0.7950768901914245
T9,14655.118623325987,13914.09840075285,12442.383625193785,12442.383625193785,12442.383625193785,12307.395835235136,12307.395835235136,7.343394754759646,6.710430646614481,7.499999999999998,8.272342419276603,1.225,Farm,103498.4825,103385.7941,0.8398018570553178
T10,14655.118623325987,13941.569180124266,12872.717895202544,12872.717895202544,12872.717895202544,12323.727806951832,12323.727806951832,7.343394754759646,6.710270675807577,7.499999999999998,8.296639369225401,1.225,Farm,97136.52048,102717.1223,0.8409162780393078
T11,14655.118623325987,13934.105998368874,11826.708950627628,11826.708950627628,11826.708950627628,11607.614562366678,11607.614562366678,7.343394754759646,6.502365225450043,7.499999999999998,8.551131343258344,1.225,Farm,101307.9995,101845.5047,0.7920519008212793
T12,14655.118623325987,13940.243833994256,11966.23101987655,11966.23101987655,11966.23101987655,11628.609777297102,11628.609777297102,7.343394754759646,6.512553992698192,7.499999999999998,8.543661980261017,1.225,Farm,98545.38632,101727.3917,0.7934845207454202
T13,14655.118623325987,13928.704708335388,11894.97151954982,11894.97151954982,11894.97151954982,11740.39225728448,11740.39225728448,7.343394754759646,6.540189791633319,7.499999999999998,8.498483522043388,1.225,Farm,102977.8019,102379.4845,0.8011120591407395
T14,14655.118623325987,13959.175611536559,13467.172021542016,13467.172021542016,13467.172021542016,12521.041064482506,12521.041064482506,7.343394754759646,6.7659255725203975,7.499999999999998,8.224949319215806,1.225,Farm,96082.20695,103160.6269,0.8543800556177858
T15,14655.118623325987,13931.288936774863,11719.586714835072,11719.586714835072,11719.586714835072,11486.8649567843,11486.8649567843,7.343394754759646,6.466296608798331,7.499999999999998,8.59849462319319,1.225,Farm,100293.8949,101282.496,0.783812485727758
T16,14655.118623325987,13942.919438663625,12344.464971666914,12344.464971666914,12344.464971666914,11924.250981726618,11924.250981726618,7.343394754759646,6.594367015799234,7.499999999999998,8.444632526216218,1.225,Farm,97362.33879,101819.4804,0.8136577593269868
T17,14655.118623325987,13932.109768877945,11680.982335910381,11680.982335910381,11680.982335910381,11486.384312748896,11486.384312748896,7.343394754759646,6.461419225260692,7.499999999999998,8.595632301819446,1.225,Farm,102165.4306,101492.8084,0.7837796887202579
T18,14655.118623325987,13935.30194443852,11790.023835032755,11790.023835032755,11790.023835032755,11486.467061005049,11486.467061005049,7.343394754759646,6.46532118629579,7.499999999999998,8.602791488762394,1.225,Farm,99102.36402,100981.7182,0.7837853350925786
T19,14655.118623325987,13931.12204980446,11742.189203309128,11742.189203309128,11742.189203309128,11627.833036569706,11627.833036569706,7.343394754759646,6.511043280834715,7.499999999999998,8.546173482957505,1.225,Farm,103911.2284,102382.4328,0.7934315194188966
T20,14655.118623325987,13946.427180675477,12757.520974346275,12757.520974346275,12757.520974346275,12004.858285141898,12004.858285141898,7.343394754759646,6.620249742231027,7.499999999999998,8.41942482682258,1.225,Farm,96176.3784,102229.9422,0.8191580425718443
T21,14655.118623325987,13934.093182012524,11624.013892503946,11624.013892503946,11624.013892503946,11411.779625465033,11411.779625465033,7.343394754759646,6.44209314030473,7.499999999999998,8.62580257526153,1.225,Farm,101099.7683,100801.0729,0.778688997255972
T22,14655.118623325987,13943.672089063599,11964.958433990018,11964.958433990018,11964.958433990018,11651.130439159337,11651.130439159337,7.343394754759646,6.514209088773975,7.499999999999998,8.547072496351758,1.225,Farm,97806.29082,100985.4174,0.7950212303716656
T23,14655.118623325987,13933.971402199171,11527.80033852597,11527.80033852597,11527.80033852597,11379.617140458968,11379.617140458968,7.343394754759646,6.4339722863322395,7.499999999999998,8.640312691794692,1.225,Farm,103103.433,101349.5098,0.7764943725768599
T25,14655.118623325987,13935.624108139453,11749.171097346261,11749.171097346261,11749.171097346261,11506.880444548253,11506.880444548253,7.343394754759646,6.468517291008551,7.499999999999998,8.59472649839673,1.225,Farm,99835.50973,100368.0236,0.7851782534351647
T26,14655.118623325987,13928.867032873943,12086.244901326996,12086.244901326996,12086.244901326996,11979.90670142618,11979.90670142618,7.343394754759646,6.606384737927871,7.499999999999998,8.413476189078345,1.225,Farm,104846.2036,102603.2199,0.8174554576691194
T27,14655.118623325987,13950.035784040829,12389.706196577863,12389.706196577863,12389.706196577863,11803.594147803371,11803.594147803371,7.343394754759646,6.5590870108143635,7.499999999999998,8.498057509717173,1.225,Farm,96486.22663,101317.2539,0.8054246745581469
T28,14655.118623325987,13937.14051587106,11556.04633122029,11556.04633122029,11556.04633122029,11399.897850372688,11399.897850372688,7.343394754759646,6.433660662046777,7.499999999999998,8.629779033609825,1.225,Farm,102020.7131,100500.5984,0.7778782378620881
T29,14655.118623325987,13936.748149448626,11766.613343352145,11766.613343352145,11766.613343352145,11548.06930203871,11548.06930203871,7.343394754759646,6.483807555481571,7.499999999999998,8.578525296869564,1.225,Farm,98441.05445,100242.4989,0.7879887975562404
T30,14655.118623325987,13934.983727738096,11527.18290001898,11527.18290001898,11527.18290001898,11403.687523474311,11403.687523474311,7.343394754759646,6.435812811878527,7.499999999999998,8.63050531095818,1.225,Farm,104083.861,101411.7375,0.7781368282699194
T31,14655.118623325987,13956.550152094756,13305.233460464313,13305.233460464313,13305.233460464313,11918.213525177849,11918.213525177849,7.343394754759646,6.593400724092686,7.499999999999998,8.457732506161026,1.225,Farm,95226.27882,101980.8833,0.8132457901915641
T32,14655.118623325987,13935.748438912204,11655.617289009237,11655.617289009237,11655.617289009237,11477.612299075208,11477.612299075208,7.343394754759646,6.457115726397491,7.499999999999998,8.604593501134604,1.225,Farm,100711.8248,99904.4672,0.7831811255902587
T33,14655.118623325987,13939.018810589258,12490.670671954327,12490.670671954327,12490.670671954327,12380.819720531106,12380.819720531106,7.343394754759646,6.727091019730455,7.499999999999998,8.244625842356283,1.225,Farm,105748.2725,103027.5292,0.8448119758529306
T34,14655.118623325987,13943.38729552259,12066.606747650643,12066.606747650643,12066.606747650643,11677.454265770319,11677.454265770319,7.343394754759646,6.518917058312267,7.499999999999998,8.543881187207905,1.225,Farm,96994.98066,100455.6463,0.7968174510156312
T35,14655.118623325987,13931.699158955322,11386.194944915613,11386.194944915613,11386.194944915613,11246.702018668062,11246.702018668062,7.343394754759646,6.390581933938935,7.499999999999998,8.68924882663154,1.225,Farm,103020.6881,100388.4449,0.7674248368598751
T37,14655.118623325987,13940.453752901469,11684.31893214743,11684.31893214743,11684.31893214743,11480.177129161673,11480.177129161673,7.343394754759646,6.459600436969653,7.499999999999998,8.602801578887938,1.225,Farm,99241.13422,99616.60927,0.783356138167938
T38,14655.118623325987,13940.67057351943,11799.099299020616,11799.099299020616,11799.099299020616,11664.611805656417,11664.611805656417,7.343394754759646,6.507577314529774,7.499999999999998,8.530602270221197,1.225,Farm,105070.8503,101675.5023,0.7959411387561411
