turbineName,grossAnnualYield_MWh_per_year,blockageOnAnnualYield_MWh_per_year,internalWakesOnAnnualYield_MWh_per_year,hysteresisAdjustmentOnAnnualYield_MWh_per_year,largeWindFarmCorrectionOnAnnualYield_MWh_per_year,neighborsWakesOnAnnualYield_MWh_per_year,fullAnnualYield_MWh_per_year,freeMeanWindSpeed_m_per_s,fullMeanWindSpeed_m_per_s,ambientMeanTurbulenceIntensity_percentage,fullMeanTurbulenceIntensity_percentage,airDensityAtHubHeight_kg_per_m3,farm_name,easting,northing,turbineInteractionEfficiency
T1,14655.118623325987,13926.739060312479,12718.811160863046,12718.811160863046,12718.811160863046,12511.683814643524,12511.683814643524,7.343394754759646,6.766974577439325,7.499999999999998,8.215456176900178,1.225,Farm,100016.0532,103237.7459,0.8537415585793457
T2,14655.118623325987,13907.593272194435,12427.631210992919,12427.631210992919,12427.631210992919,12222.631200574784,12222.631200574784,7.343394754759646,6.684208122668723,7.499999999999998,8.313120116829321,1.225,Farm,101266.2733,103112.912,0.834017896048995
T3,14655.118623325987,13918.066524852702,12395.765628592804,12395.765628592804,12395.765628592804,12120.673112543805,12120.673112543805,7.343394754759646,6.652382130603459,7.499999999999998,8.36404214428685,1.225,Farm,99192.44203,102767.8101,0.8270607303888894
T4,14655.118623325987,13937.730192838108,12748.715821175068,12748.715821175068,12748.715821175068,12609.638998306313,12609.638998306313,7.343394754759646,6.786317573918662,7.499999999999998,8.182976315108455,1.225,Farm,102569.0599,103510.2297,0.8604255838800265
T5,14655.118623325987,13924.14667052982,12058.857534764154,12058.857534764154,12058.857534764154,11875.808269529476,11875.808269529476,7.343394754759646,6.583789900196189,7.499999999999998,8.445008477779053,1.225,Farm,100573.6564,102416.78,0.8103522444797691
T6,14655.118623325987,13928.002415438783,12410.851348744896,12410.851348744896,12410.851348744896,12128.114571426371,12128.114571426371,7.343394754759646,6.66037175513896,7.499999999999998,8.35258343493419,1.225,Farm,98202.55229,102587.7236,0.8275685023881362
T7,14655.118623325987,13929.344150086361,12074.113007328693,12074.113007328693,12074.113007328693,11955.516659405665,11955.516659405665,7.343394754759646,6.6047552356371915,7.499999999999998,8.420840278442801,1.225,Farm,102082.7525,102612.148,0.8157911898697654
T8,14655.118623325987,13928.630943758366,11953.01408392623,11953.01408392623,11953.01408392623,11654.149677157528,11654.149677157528,7.343394754759646,6.514533532400687,7.499999999999998,8.537190912390743,1.225,Farm,99642.22554,101937.973,0.7952272497206585
T9,14655.118623325987,13914.09860643893,12439.823223493773,12439.823223493773,12439.823223493773,12306.58771526713,12306.58771526713,7.343394754759646,6.70973209465976,7.499999999999998,8.272800320468543,1.225,Farm,103498.4825,103385.7941,0.839746714549223
T10,14655.118623325987,13941.571607275402,12872.615403169802,12872.615403169802,12872.615403169802,12322.642566553099,12322.642566553099,7.343394754759646,6.709548715177982,7.499999999999998,8.29712438193568,1.225,Farm,97136.52048,102717.1223,0.8408422260697108
